Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 20-Aug-2025,Total applicable ELM%
1,360ONE,OTH,3.5,0,3.5
2,360ONE,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABCAPITAL,OTH,3.5,0,3.5
6,ABCAPITAL,OTM,5.25,0,5.25
7,ABFRL,OTH,3.5,0,3.5
8,ABFRL,OTM,5.25,0,5.25
9,ADANIENSOL,OTH,3.5,0,3.5
10,ADANIENSOL,OTM,5.25,0,5.25
11,ADANIENT,OTH,3.5,0,3.5
12,ADANIENT,OTM,5.25,0,5.25
13,ADANIGREEN,OTH,3.5,0,3.5
14,ADANIGREEN,OTM,5.25,0,5.25
15,ADANIPORTS,OTH,3.5,0,3.5
16,ADANIPORTS,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBER,OTH,3.5,0,3.5
20,AMBER,OTM,5.25,0,5.25
21,AMBUJACEM,OTH,3.5,0,3.5
22,AMBUJACEM,OTM,5.25,0,5.25
23,ANGELONE,OTH,3.5,0,3.5
24,ANGELONE,OTM,5.25,0,5.25
25,APLAPOLLO,OTH,3.5,0,3.5
26,APLAPOLLO,OTM,5.25,0,5.25
27,APOLLOHOSP,OTH,3.5,0,3.5
28,APOLLOHOSP,OTM,5.25,0,5.25
29,ASHOKLEY,OTH,3.5,0,3.5
30,ASHOKLEY,OTM,5.25,0,5.25
31,ASIANPAINT,OTH,3.5,0,3.5
32,ASIANPAINT,OTM,5.25,0,5.25
33,ASTRAL,OTH,3.5,0,3.5
34,ASTRAL,OTM,5.25,0,5.25
35,ATGL,OTH,3.5,0,3.5
36,ATGL,OTM,5.25,0,5.25
37,AUBANK,OTH,3.5,0,3.5
38,AUBANK,OTM,5.25,0,5.25
39,AUROPHARMA,OTH,3.5,0,3.5
40,AUROPHARMA,OTM,5.25,0,5.25
41,AXISBANK,OTH,3.5,0,3.5
42,AXISBANK,OTM,5.25,0,5.25
43,BAJAJ-AUTO,OTH,3.5,0,3.5
44,BAJAJ-AUTO,OTM,5.25,0,5.25
45,BAJAJFINSV,OTH,3.5,0,3.5
46,BAJAJFINSV,OTM,5.25,0,5.25
47,BAJFINANCE,OTH,3.5,0,3.5
48,BAJFINANCE,OTM,5.25,0,5.25
49,BANDHANBNK,OTH,3.5,0,3.5
50,BANDHANBNK,OTM,5.25,0,5.25
51,BANKBARODA,OTH,3.5,0,3.5
52,BANKBARODA,OTM,5.25,0,5.25
53,BANKINDIA,OTH,3.5,0,3.5
54,BANKINDIA,OTM,5.25,0,5.25
55,BDL,OTH,3.5,0,3.5
56,BDL,OTM,5.25,0,5.25
57,BEL,OTH,3.5,0,3.5
58,BEL,OTM,5.25,0,5.25
59,BHARATFORG,OTH,3.5,0,3.5
60,BHARATFORG,OTM,5.25,0,5.25
61,BHARTIARTL,OTH,3.5,0,3.5
62,BHARTIARTL,OTM,5.25,0,5.25
63,BHEL,OTH,3.5,0,3.5
64,BHEL,OTM,5.25,0,5.25
65,BIOCON,OTH,3.5,0,3.5
66,BIOCON,OTM,5.25,0,5.25
67,BLUESTARCO,OTH,3.5,0,3.5
68,BLUESTARCO,OTM,5.25,0,5.25
69,BOSCHLTD,OTH,3.5,0,3.5
70,BOSCHLTD,OTM,5.25,0,5.25
71,BPCL,OTH,3.5,0,3.5
72,BPCL,OTM,5.25,0,5.25
73,BRITANNIA,OTH,3.5,0,3.5
74,BRITANNIA,OTM,5.25,0,5.25
75,BSE,OTH,3.5,0,3.5
76,BSE,OTM,5.25,0,5.25
77,CAMS,OTH,3.5,0,3.5
78,CAMS,OTM,5.25,0,5.25
79,CANBK,OTH,3.5,0,3.5
80,CANBK,OTM,5.25,0,5.25
81,CDSL,OTH,3.5,0,3.5
82,CDSL,OTM,5.25,0,5.25
83,CESC,OTH,3.5,0,3.5
84,CESC,OTM,5.25,0,5.25
85,CGPOWER,OTH,3.5,0,3.5
86,CGPOWER,OTM,5.25,0,5.25
87,CHOLAFIN,OTH,3.5,0,3.5
88,CHOLAFIN,OTM,5.25,0,5.25
89,CIPLA,OTH,3.5,0,3.5
90,CIPLA,OTM,5.25,0,5.25
91,COALINDIA,OTH,3.5,0,3.5
92,COALINDIA,OTM,5.25,0,5.25
93,COFORGE,OTH,3.5,0,3.5
94,COFORGE,OTM,5.25,0,5.25
95,COLPAL,OTH,3.5,0,3.5
96,COLPAL,OTM,5.25,0,5.25
97,CONCOR,OTH,3.5,0,3.5
98,CONCOR,OTM,5.25,0,5.25
99,CROMPTON,OTH,3.5,0,3.5
100,CROMPTON,OTM,5.25,0,5.25
101,CUMMINSIND,OTH,3.5,0,3.5
102,CUMMINSIND,OTM,5.25,0,5.25
103,CYIENT,OTH,3.5,0,3.5
104,CYIENT,OTM,5.25,0,5.25
105,DABUR,OTH,3.5,0,3.5
106,DABUR,OTM,5.25,0,5.25
107,DALBHARAT,OTH,3.5,0,3.5
108,DALBHARAT,OTM,5.25,0,5.25
109,DELHIVERY,OTH,3.5,0,3.5
110,DELHIVERY,OTM,5.25,0,5.25
111,DIVISLAB,OTH,3.5,0,3.5
112,DIVISLAB,OTM,5.25,0,5.25
113,DIXON,OTH,3.5,0,3.5
114,DIXON,OTM,5.25,0,5.25
115,DLF,OTH,3.5,0,3.5
116,DLF,OTM,5.25,0,5.25
117,DMART,OTH,3.5,0,3.5
118,DMART,OTM,5.25,0,5.25
119,DRREDDY,OTH,3.5,0,3.5
120,DRREDDY,OTM,5.25,0,5.25
121,EICHERMOT,OTH,3.5,0,3.5
122,EICHERMOT,OTM,5.25,0,5.25
123,ETERNAL,OTH,3.5,0,3.5
124,ETERNAL,OTM,5.25,0,5.25
125,EXIDEIND,OTH,3.5,0,3.5
126,EXIDEIND,OTM,5.25,0,5.25
127,FEDERALBNK,OTH,3.5,0,3.5
128,FEDERALBNK,OTM,5.25,0,5.25
129,FORTIS,OTH,3.5,0,3.5
130,FORTIS,OTM,5.25,0,5.25
131,GAIL,OTH,3.5,0,3.5
132,GAIL,OTM,5.25,0,5.25
133,GLENMARK,OTH,3.5,0,3.5
134,GLENMARK,OTM,5.25,0,5.25
135,GMRAIRPORT,OTH,3.5,0,3.5
136,GMRAIRPORT,OTM,5.25,0,5.25
137,GODREJCP,OTH,3.5,0,3.5
138,GODREJCP,OTM,5.25,0,5.25
139,GODREJPROP,OTH,3.5,0,3.5
140,GODREJPROP,OTM,5.25,0,5.25
141,GRANULES,OTH,3.5,15,18.5
142,GRANULES,OTM,5.25,15,20.25
143,GRASIM,OTH,3.5,0,3.5
144,GRASIM,OTM,5.25,0,5.25
145,HAL,OTH,3.5,0,3.5
146,HAL,OTM,5.25,0,5.25
147,HAVELLS,OTH,3.5,0,3.5
148,HAVELLS,OTM,5.25,0,5.25
149,HCLTECH,OTH,3.5,0,3.5
150,HCLTECH,OTM,5.25,0,5.25
151,HDFCAMC,OTH,3.5,0,3.5
152,HDFCAMC,OTM,5.25,0,5.25
153,HDFCBANK,OTH,3.5,0,3.5
154,HDFCBANK,OTM,5.25,0,5.25
155,HDFCLIFE,OTH,3.5,0,3.5
156,HDFCLIFE,OTM,5.25,0,5.25
157,HEROMOTOCO,OTH,3.5,0,3.5
158,HEROMOTOCO,OTM,5.25,0,5.25
159,HFCL,OTH,3.5,1.75,5.25
160,HFCL,OTM,5.25,2.63,7.88
161,HINDALCO,OTH,3.5,0,3.5
162,HINDALCO,OTM,5.25,0,5.25
163,HINDPETRO,OTH,3.5,0,3.5
164,HINDPETRO,OTM,5.25,0,5.25
165,HINDUNILVR,OTH,3.5,0,3.5
166,HINDUNILVR,OTM,5.25,0,5.25
167,HINDZINC,OTH,3.5,0,3.5
168,HINDZINC,OTM,5.25,0,5.25
169,HUDCO,OTH,3.5,0,3.5
170,HUDCO,OTM,5.25,0,5.25
171,ICICIBANK,OTH,3.5,0,3.5
172,ICICIBANK,OTM,5.25,0,5.25
173,ICICIGI,OTH,3.5,0,3.5
174,ICICIGI,OTM,5.25,0,5.25
175,ICICIPRULI,OTH,3.5,0,3.5
176,ICICIPRULI,OTM,5.25,0,5.25
177,IDEA,OTH,3.5,0,3.5
178,IDEA,OTM,5.25,0,5.25
179,IDFCFIRSTB,OTH,3.5,0,3.5
180,IDFCFIRSTB,OTM,5.25,0,5.25
181,IEX,OTH,3.5,0,3.5
182,IEX,OTM,5.25,0,5.25
183,IGL,OTH,3.5,0,3.5
184,IGL,OTM,5.25,0,5.25
185,IIFL,OTH,3.5,0,3.5
186,IIFL,OTM,5.25,0,5.25
187,INDHOTEL,OTH,3.5,0,3.5
188,INDHOTEL,OTM,5.25,0,5.25
189,INDIANB,OTH,3.5,0,3.5
190,INDIANB,OTM,5.25,0,5.25
191,INDIGO,OTH,3.5,0,3.5
192,INDIGO,OTM,5.25,0,5.25
193,INDUSINDBK,OTH,3.5,0,3.5
194,INDUSINDBK,OTM,5.25,0,5.25
195,INDUSTOWER,OTH,3.5,0,3.5
196,INDUSTOWER,OTM,5.25,0,5.25
197,INFY,OTH,3.5,0,3.5
198,INFY,OTM,5.25,0,5.25
199,INOXWIND,OTH,3.5,0,3.5
200,INOXWIND,OTM,5.25,0,5.25
201,IOC,OTH,3.5,0,3.5
202,IOC,OTM,5.25,0,5.25
203,IRB,OTH,3.5,0,3.5
204,IRB,OTM,5.25,0,5.25
205,IRCTC,OTH,3.5,0,3.5
206,IRCTC,OTM,5.25,0,5.25
207,IREDA,OTH,3.5,0,3.5
208,IREDA,OTM,5.25,0,5.25
209,IRFC,OTH,3.5,0,3.5
210,IRFC,OTM,5.25,0,5.25
211,ITC,OTH,3.5,0,3.5
212,ITC,OTM,5.25,0,5.25
213,JINDALSTEL,OTH,3.5,0,3.5
214,JINDALSTEL,OTM,5.25,0,5.25
215,JIOFIN,OTH,3.5,0,3.5
216,JIOFIN,OTM,5.25,0,5.25
217,JSL,OTH,3.5,0,3.5
218,JSL,OTM,5.25,0,5.25
219,JSWENERGY,OTH,3.5,0,3.5
220,JSWENERGY,OTM,5.25,0,5.25
221,JSWSTEEL,OTH,3.5,0,3.5
222,JSWSTEEL,OTM,5.25,0,5.25
223,JUBLFOOD,OTH,3.5,0,3.5
224,JUBLFOOD,OTM,5.25,0,5.25
225,KALYANKJIL,OTH,3.5,10.5,14
226,KALYANKJIL,OTM,5.25,15.75,21
227,KAYNES,OTH,3.5,0,3.5
228,KAYNES,OTM,5.25,0,5.25
229,KEI,OTH,3.5,0,3.5
230,KEI,OTM,5.25,0,5.25
231,KFINTECH,OTH,3.5,0,3.5
232,KFINTECH,OTM,5.25,0,5.25
233,KOTAKBANK,OTH,3.5,0,3.5
234,KOTAKBANK,OTM,5.25,0,5.25
235,KPITTECH,OTH,3.5,0,3.5
236,KPITTECH,OTM,5.25,0,5.25
237,LAURUSLABS,OTH,3.5,0,3.5
238,LAURUSLABS,OTM,5.25,0,5.25
239,LICHSGFIN,OTH,3.5,7,10.5
240,LICHSGFIN,OTM,5.25,10.5,15.75
241,LICI,OTH,3.5,0,3.5
242,LICI,OTM,5.25,0,5.25
243,LODHA,OTH,3.5,0,3.5
244,LODHA,OTM,5.25,0,5.25
245,LT,OTH,3.5,0,3.5
246,LT,OTM,5.25,0,5.25
247,LTF,OTH,3.5,0,3.5
248,LTF,OTM,5.25,0,5.25
249,LTIM,OTH,3.5,0,3.5
250,LTIM,OTM,5.25,0,5.25
251,LUPIN,OTH,3.5,0,3.5
252,LUPIN,OTM,5.25,0,5.25
253,M&M,OTH,3.5,0,3.5
254,M&M,OTM,5.25,0,5.25
255,MANAPPURAM,OTH,3.5,0,3.5
256,MANAPPURAM,OTM,5.25,0,5.25
257,MANKIND,OTH,3.5,0,3.5
258,MANKIND,OTM,5.25,0,5.25
259,MARICO,OTH,3.5,0,3.5
260,MARICO,OTM,5.25,0,5.25
261,MARUTI,OTH,3.5,0,3.5
262,MARUTI,OTM,5.25,0,5.25
263,MAXHEALTH,OTH,3.5,0,3.5
264,MAXHEALTH,OTM,5.25,0,5.25
265,MAZDOCK,OTH,3.5,0,3.5
266,MAZDOCK,OTM,5.25,0,5.25
267,MCX,OTH,3.5,0,3.5
268,MCX,OTM,5.25,0,5.25
269,MFSL,OTH,3.5,0,3.5
270,MFSL,OTM,5.25,0,5.25
271,MOTHERSON,OTH,3.5,0,3.5
272,MOTHERSON,OTM,5.25,0,5.25
273,MPHASIS,OTH,3.5,0,3.5
274,MPHASIS,OTM,5.25,0,5.25
275,MUTHOOTFIN,OTH,3.5,0,3.5
276,MUTHOOTFIN,OTM,5.25,0,5.25
277,NATIONALUM,OTH,3.5,0,3.5
278,NATIONALUM,OTM,5.25,0,5.25
279,NAUKRI,OTH,3.5,0,3.5
280,NAUKRI,OTM,5.25,0,5.25
281,NBCC,OTH,3.5,0,3.5
282,NBCC,OTM,5.25,0,5.25
283,NCC,OTH,3.5,0,3.5
284,NCC,OTM,5.25,0,5.25
285,NESTLEIND,OTH,3.5,0,3.5
286,NESTLEIND,OTM,5.25,0,5.25
287,NHPC,OTH,3.5,0,3.5
288,NHPC,OTM,5.25,0,5.25
289,NMDC,OTH,3.5,1.75,5.25
290,NMDC,OTM,5.25,2.63,7.88
291,NTPC,OTH,3.5,0,3.5
292,NTPC,OTM,5.25,0,5.25
293,NUVAMA,OTH,3.5,0,3.5
294,NUVAMA,OTM,5.25,0,5.25
295,NYKAA,OTH,3.5,0,3.5
296,NYKAA,OTM,5.25,0,5.25
297,OBEROIRLTY,OTH,3.5,0,3.5
298,OBEROIRLTY,OTM,5.25,0,5.25
299,OFSS,OTH,3.5,0,3.5
300,OFSS,OTM,5.25,0,5.25
301,OIL,OTH,3.5,0,3.5
302,OIL,OTM,5.25,0,5.25
303,ONGC,OTH,3.5,0,3.5
304,ONGC,OTM,5.25,0,5.25
305,PAGEIND,OTH,3.5,0,3.5
306,PAGEIND,OTM,5.25,0,5.25
307,PATANJALI,OTH,3.5,0,3.5
308,PATANJALI,OTM,5.25,0,5.25
309,PAYTM,OTH,3.5,0,3.5
310,PAYTM,OTM,5.25,0,5.25
311,PERSISTENT,OTH,3.5,0,3.5
312,PERSISTENT,OTM,5.25,0,5.25
313,PETRONET,OTH,3.5,0,3.5
314,PETRONET,OTM,5.25,0,5.25
315,PFC,OTH,3.5,0,3.5
316,PFC,OTM,5.25,0,5.25
317,PGEL,OTH,3.5,3.5,7
318,PGEL,OTM,5.25,5.25,10.5
319,PHOENIXLTD,OTH,3.5,0,3.5
320,PHOENIXLTD,OTM,5.25,0,5.25
321,PIDILITIND,OTH,3.5,0,3.5
322,PIDILITIND,OTM,5.25,0,5.25
323,PIIND,OTH,3.5,0,3.5
324,PIIND,OTM,5.25,0,5.25
325,PNB,OTH,3.5,0,3.5
326,PNB,OTM,5.25,0,5.25
327,PNBHOUSING,OTH,3.5,5.25,8.75
328,PNBHOUSING,OTM,5.25,7.88,13.13
329,POLICYBZR,OTH,3.5,0,3.5
330,POLICYBZR,OTM,5.25,0,5.25
331,POLYCAB,OTH,3.5,0,3.5
332,POLYCAB,OTM,5.25,0,5.25
333,POONAWALLA,OTH,3.5,0,3.5
334,POONAWALLA,OTM,5.25,0,5.25
335,POWERGRID,OTH,3.5,0,3.5
336,POWERGRID,OTM,5.25,0,5.25
337,PPLPHARMA,OTH,3.5,0,3.5
338,PPLPHARMA,OTM,5.25,0,5.25
339,PRESTIGE,OTH,3.5,0,3.5
340,PRESTIGE,OTM,5.25,0,5.25
341,RBLBANK,OTH,3.5,15,18.5
342,RBLBANK,OTM,5.25,15.75,21
343,RECLTD,OTH,3.5,0,3.5
344,RECLTD,OTM,5.25,0,5.25
345,RELIANCE,OTH,3.5,0,3.5
346,RELIANCE,OTM,5.25,0,5.25
347,RVNL,OTH,3.5,0,3.5
348,RVNL,OTM,5.25,0,5.25
349,SAIL,OTH,3.5,15,18.5
350,SAIL,OTM,5.25,15,20.25
351,SBICARD,OTH,3.5,0,3.5
352,SBICARD,OTM,5.25,0,5.25
353,SBILIFE,OTH,3.5,0,3.5
354,SBILIFE,OTM,5.25,0,5.25
355,SBIN,OTH,3.5,0,3.5
356,SBIN,OTM,5.25,0,5.25
357,SHREECEM,OTH,3.5,0,3.5
358,SHREECEM,OTM,5.25,0,5.25
359,SHRIRAMFIN,OTH,3.5,0,3.5
360,SHRIRAMFIN,OTM,5.25,0,5.25
361,SIEMENS,OTH,3.5,0,3.5
362,SIEMENS,OTM,5.25,0,5.25
363,SJVN,OTH,3.5,0,3.5
364,SJVN,OTM,5.25,0,5.25
365,SOLARINDS,OTH,3.5,0,3.5
366,SOLARINDS,OTM,5.25,0,5.25
367,SONACOMS,OTH,3.5,0,3.5
368,SONACOMS,OTM,5.25,0,5.25
369,SRF,OTH,3.5,0,3.5
370,SRF,OTM,5.25,0,5.25
371,SUNPHARMA,OTH,3.5,0,3.5
372,SUNPHARMA,OTM,5.25,0,5.25
373,SUPREMEIND,OTH,3.5,0,3.5
374,SUPREMEIND,OTM,5.25,0,5.25
375,SUZLON,OTH,3.5,0,3.5
376,SUZLON,OTM,5.25,0,5.25
377,SYNGENE,OTH,3.5,0,3.5
378,SYNGENE,OTM,5.25,0,5.25
379,TATACHEM,OTH,3.5,0,3.5
380,TATACHEM,OTM,5.25,0,5.25
381,TATACONSUM,OTH,3.5,0,3.5
382,TATACONSUM,OTM,5.25,0,5.25
383,TATAELXSI,OTH,3.5,0,3.5
384,TATAELXSI,OTM,5.25,0,5.25
385,TATAMOTORS,OTH,3.5,0,3.5
386,TATAMOTORS,OTM,5.25,0,5.25
387,TATAPOWER,OTH,3.5,0,3.5
388,TATAPOWER,OTM,5.25,0,5.25
389,TATASTEEL,OTH,3.5,0,3.5
390,TATASTEEL,OTM,5.25,0,5.25
391,TATATECH,OTH,3.5,0,3.5
392,TATATECH,OTM,5.25,0,5.25
393,TCS,OTH,3.5,0,3.5
394,TCS,OTM,5.25,0,5.25
395,TECHM,OTH,3.5,0,3.5
396,TECHM,OTM,5.25,0,5.25
397,TIINDIA,OTH,3.5,0,3.5
398,TIINDIA,OTM,5.25,0,5.25
399,TITAGARH,OTH,3.5,7,10.5
400,TITAGARH,OTM,5.25,10.5,15.75
401,TITAN,OTH,3.5,0,3.5
402,TITAN,OTM,5.25,0,5.25
403,TORNTPHARM,OTH,3.5,0,3.5
404,TORNTPHARM,OTM,5.25,0,5.25
405,TORNTPOWER,OTH,3.5,0,3.5
406,TORNTPOWER,OTM,5.25,0,5.25
407,TRENT,OTH,3.5,0,3.5
408,TRENT,OTM,5.25,0,5.25
409,TVSMOTOR,OTH,3.5,0,3.5
410,TVSMOTOR,OTM,5.25,0,5.25
411,ULTRACEMCO,OTH,3.5,0,3.5
412,ULTRACEMCO,OTM,5.25,0,5.25
413,UNIONBANK,OTH,3.5,0,3.5
414,UNIONBANK,OTM,5.25,0,5.25
415,UNITDSPR,OTH,3.5,0,3.5
416,UNITDSPR,OTM,5.25,0,5.25
417,UNOMINDA,OTH,3.5,0,3.5
418,UNOMINDA,OTM,5.25,0,5.25
419,UPL,OTH,3.5,0,3.5
420,UPL,OTM,5.25,0,5.25
421,VBL,OTH,3.5,0,3.5
422,VBL,OTM,5.25,0,5.25
423,VEDL,OTH,3.5,0,3.5
424,VEDL,OTM,5.25,0,5.25
425,VOLTAS,OTH,3.5,0,3.5
426,VOLTAS,OTM,5.25,0,5.25
427,WIPRO,OTH,3.5,0,3.5
428,WIPRO,OTM,5.25,0,5.25
429,YESBANK,OTH,3.5,0,3.5
430,YESBANK,OTM,5.25,0,5.25
431,ZYDUSLIFE,OTH,3.5,0,3.5
432,ZYDUSLIFE,OTM,5.25,0,5.25
